storeAverage,storeDayAverage,storeMonthCustomers,Promo,Open,SchoolHoliday,StateHoliday,Year,Month,Day,Assortment,StoreType,CompetitionDistance,CompetitionOpenDays,Promo2,OpenedDays,nextCloseDay,Sales
4759.09603073,4457.83870968,510.980392157,1,1,0,0,2015,9,17,1,3,1270,2573.0,0,4.0,1.0,0.0
6942.56867779,6936.43548387,725.568627451,1,1,0,0,2015,9,17,1,1,14130,3213.0,0,4.0,1.0,0.0
8817.05089059,8508.0234375,951.823529412,1,1,0,0,2015,9,17,3,1,24000,900.0,0,4.0,1.0,0.0
5539.35841837,6348.52755906,642.039215686,1,1,0,0,2015,9,17,1,1,7520,352.0,0,4.0,1.0,0.0
6562.33761232,6131.62903226,563.294117647,1,1,0,0,2015,9,17,3,1,2030,5526.0,0,4.0,1.0,0.0
5568.42091837,5340.48818898,581.62745098,1,1,0,0,2015,9,17,1,1,3160,2208.0,0,4.0,1.0,0.0
8030.97704082,7910.81102362,1102.82352941,1,1,0,0,2015,9,17,3,1,960,1417.0,0,4.0,1.0,0.0
7589.59821429,7356.25984252,866.843137255,1,1,0,0,2015,9,17,3,1,1070,0.0,0,4.0,1.0,0.0
5034.74718196,4678.88659794,360.48,1,1,0,0,2015,9,17,1,4,310,0.0,0,4.0,1.0,0.0
5508.56739409,5541.4516129,608.62745098,1,1,0,0,2015,9,17,1,1,1300,566.0,0,4.0,1.0,0.0
6672.84438776,6555.79527559,643.37254902,1,1,0,0,2015,9,17,3,4,4110,2027.0,0,4.0,1.0,0.0
7680.68339768,7625.11290323,827.921568627,1,1,0,0,2015,9,17,3,1,3270,0.0,0,4.0,1.0,0.0
6464.91527599,6522.96774194,619.215686275,1,1,0,0,2015,9,17,3,1,3240,0.0,1,4.0,1.0,0.0
7756.93537964,8652.32989691,830.68,1,1,0,0,2015,9,17,1,4,2340,2331.0,0,4.0,1.0,0.0
5482.32046332,5110.39516129,507.156862745,1,1,0,0,2015,9,17,3,3,550,5831.0,0,4.0,1.0,0.0
4525.85783522,4461.13684211,489.92,1,1,0,0,2015,9,17,1,1,1040,0.0,0,4.0,1.0,0.0
5520.28112965,5381.63709677,452.68627451,1,1,0,0,2015,9,17,1,4,4060,3700.0,0,4.0,1.0,0.0
9388.28626444,8955.04032258,819.705882353,1,1,0,0,2015,9,17,3,1,4590,5679.0,0,4.0,1.0,0.0
11139.0385638,11100.25,1499.58823529,1,1,0,0,2015,9,17,1,3,430,4553.0,0,4.0,1.0,0.0
9478.57381258,9032.91129032,1024.17647059,1,1,0,0,2015,9,17,1,1,60,3912.0,0,4.0,1.0,0.0
7364.77535302,6652.47580645,639.156862745,1,1,0,0,2015,9,17,3,4,2170,0.0,0,4.0,1.0,0.0
5294.78249678,5489.36290323,765.509803922,1,1,0,0,2015,9,17,1,1,40,594.0,1,4.0,1.0,0.0
5862.42729592,5686.63779528,562.039215686,1,1,0,0,2015,9,17,3,4,9800,1174.0,0,4.0,1.0,0.0
4067.82125604,4056.0,431.24,1,1,0,0,2015,9,17,1,1,2910,0.0,0,4.0,1.0,0.0
8436.65982028,7839.14516129,815.588235294,1,1,0,0,2015,9,17,3,1,1320,870.0,0,4.0,1.0,0.0
9703.07188703,9337.02419355,724.764705882,1,1,0,0,2015,9,17,3,4,7660,5465.0,0,4.0,1.0,0.0
